Code Domaine,Domaine,Code zone (FAO),Zone,Code Élément,Élément,Code Produit,Produit,Code année,Année,Unité,Valeur,Symbole,Description du Symbole,Note
"MK","Indicateurs macro","4","Algérie","61290","Croissance annuelle US$ par habitant","22008","Produit Intérieur Brut","2020","2020","%","-16.604497","X","Ciffre de sources internationales",""
"MK","Indicateurs macro","4","Algérie","6182","Croissance annuelle US $, aux prix de 2015","22008","Produit Intérieur Brut","2020","2020","%","-5.1","X","Ciffre de sources internationales",""
"MK","Indicateurs macro","4","Algérie","61820","Croissance annuelle US $ par habitant, aux prix de 2015","22008","Produit Intérieur Brut","2020","2020","%","-6.729942","X","Ciffre de sources internationales",""
"MK","Indicateurs macro","4","Algérie","6109","Valeur en devise locale","22011","Revenu national brut","2020","2020","million LCU","18134569.9","X","Ciffre de sources internationales",""
"MK","Indicateurs macro","4","Algérie","6110","Valeur US $","22011","Revenu national brut","2020","2020","Millions d’USD","143043.2847","X","Ciffre de sources internationales",""
"MK","Indicateurs macro","4","Algérie","6119","Valeur US $ par habitant","22011","Revenu national brut","2020","2020","US$","3292.009211","X","Ciffre de sources internationales",""
"MK","Indicateurs macro","4","Algérie","6103","Part du PIB US $","22011","Revenu national brut","2020","2020","%","98.147254","X","Ciffre de sources internationales",""
"MK","Indicateurs macro","4","Algérie","6155","Croissance annuelle en devise locale","22011","Revenu national brut","2020","2020","%","-9.484334","X","Ciffre de sources internationales",""
"MK","Indicateurs macro","4","Algérie","6129","Croissance annuelle US$","22011","Revenu national brut","2020","2020","%","-14.784355","X","Ciffre de sources internationales",""
"MK","Indicateurs macro","4","Algérie","61290","Croissance annuelle US$ par habitant","22011","Revenu national brut","2020","2020","%","-16.247964","X","Ciffre de sources internationales",""
"MK","Indicateurs macro","79","Allemagne","6109","Valeur en devise locale","22008","Produit Intérieur Brut","2020","2020","million LCU","3405430","X","Ciffre de sources internationales",""
"MK","Indicateurs macro","79","Allemagne","6110","Valeur US $","22008","Produit Intérieur Brut","2020","2020","Millions d’USD","3889668.895","X","Ciffre de sources internationales",""
"MK","Indicateurs macro","79","Allemagne","6119","Valeur US $ par habitant","22008","Produit Intérieur Brut","2020","2020","US$","46678.460742","X","Ciffre de sources internationales",""
"MK","Indicateurs macro","79","Allemagne","6183","Valeur en devise locale, aux prix de 2015","22008","Produit Intérieur Brut","2020","2020","million LCU","3121807.29","X","Ciffre de sources internationales",""
"MK","Indicateurs macro","79","Allemagne","6185","Valeur US $ par habitant, aux prix du 2015","22008","Produit Intérieur Brut","2020","2020","US$","41549.679626","X","Ciffre de sources internationales",""
"MK","Indicateurs macro","79","Allemagne","6184","Valeur US $, aux prix du 2015","22008","Produit Intérieur Brut","2020","2020","Millions d’USD","3462292.755","X","Ciffre de sources internationales",""
"MK","Indicateurs macro","79","Allemagne","6155","Croissance annuelle en devise locale","22008","Produit Intérieur Brut","2020","2020","%","-1.95292","X","Ciffre de sources internationales",""
"MK","Indicateurs macro","79","Allemagne","6181","Croissance annuelle aux prix de 2015","22008","Produit Intérieur Brut","2020","2020","%","-3.696789","X","Ciffre de sources internationales",""
"MK","Indicateurs macro","79","Allemagne","6129","Croissance annuelle US$","22008","Produit Intérieur Brut","2020","2020","%","0.037108","X","Ciffre de sources internationales",""
