Code Domaine,Domaine,Code zone (FAO),Zone,Code Élément,Élément,Code Produit,Produit,Code année,Année,Unité,Valeur,Symbole,Description du Symbole,Note
"OA","Séries temporelles annuelles","258","Anguilla","511","Population totale","3010","Population-Estimations","2010","2010","1000 personnes","13.172","X","Ciffre de sources internationales",""
"OA","Séries temporelles annuelles","258","Anguilla","512","Hommes","3010","Population-Estimations","2010","2010","1000 personnes","6.47","X","Ciffre de sources internationales",""
"OA","Séries temporelles annuelles","258","Anguilla","513","Femmes","3010","Population-Estimations","2010","2010","1000 personnes","6.702","X","Ciffre de sources internationales",""
"OA","Séries temporelles annuelles","258","Anguilla","551","Population rurale","3010","Population-Estimations","2010","2010","1000 personnes","0","X","Ciffre de sources internationales",""
"OA","Séries temporelles annuelles","258","Anguilla","561","Population urbaine","3010","Population-Estimations","2010","2010","1000 personnes","13.769","X","Ciffre de sources internationales",""
"OA","Séries temporelles annuelles","258","Anguilla","511","Population totale","3010","Population-Estimations","2020","2020","1000 personnes","15.585","X","Ciffre de sources internationales",""
"OA","Séries temporelles annuelles","258","Anguilla","512","Hommes","3010","Population-Estimations","2020","2020","1000 personnes","7.644","X","Ciffre de sources internationales",""
"OA","Séries temporelles annuelles","258","Anguilla","513","Femmes","3010","Population-Estimations","2020","2020","1000 personnes","7.941","X","Ciffre de sources internationales",""
"OA","Séries temporelles annuelles","258","Anguilla","551","Population rurale","3010","Population-Estimations","2020","2020","1000 personnes","0","X","Ciffre de sources internationales",""
"OA","Séries temporelles annuelles","258","Anguilla","561","Population urbaine","3010","Population-Estimations","2020","2020","1000 personnes","15.283","X","Ciffre de sources internationales",""
"OA","Séries temporelles annuelles","8","Antigua-et-Barbuda","511","Population totale","3010","Population-Estimations","2010","2010","1000 personnes","85.695","X","Ciffre de sources internationales",""
"OA","Séries temporelles annuelles","8","Antigua-et-Barbuda","512","Hommes","3010","Population-Estimations","2010","2010","1000 personnes","40.597","X","Ciffre de sources internationales",""
"OA","Séries temporelles annuelles","8","Antigua-et-Barbuda","513","Femmes","3010","Population-Estimations","2010","2010","1000 personnes","45.097","X","Ciffre de sources internationales",""
"OA","Séries temporelles annuelles","8","Antigua-et-Barbuda","551","Population rurale","3010","Population-Estimations","2010","2010","1000 personnes","69.824","X","Ciffre de sources internationales",""
"OA","Séries temporelles annuelles","8","Antigua-et-Barbuda","561","Population urbaine","3010","Population-Estimations","2010","2010","1000 personnes","24.837","X","Ciffre de sources internationales",""
"OA","Séries temporelles annuelles","8","Antigua-et-Barbuda","511","Population totale","3010","Population-Estimations","2020","2020","1000 personnes","92.664","X","Ciffre de sources internationales",""
"OA","Séries temporelles annuelles","8","Antigua-et-Barbuda","512","Hommes","3010","Population-Estimations","2020","2020","1000 personnes","44.236","X","Ciffre de sources internationales",""
"OA","Séries temporelles annuelles","8","Antigua-et-Barbuda","513","Femmes","3010","Population-Estimations","2020","2020","1000 personnes","48.428","X","Ciffre de sources internationales",""
"OA","Séries temporelles annuelles","8","Antigua-et-Barbuda","551","Population rurale","3010","Population-Estimations","2020","2020","1000 personnes","79.428","X","Ciffre de sources internationales",""
"OA","Séries temporelles annuelles","8","Antigua-et-Barbuda","561","Population urbaine","3010","Population-Estimations","2020","2020","1000 personnes","25.682","X","Ciffre de sources internationales",""
"OA","Séries temporelles annuelles","151","Antilles néerlandaises (ex)","511","Population totale","3010","Population-Estimations","2010","2010","1000 personnes","258.084","E","Valeur estimée",""
"OA","Séries temporelles annuelles","151","Antilles néerlandaises (ex)","512","Hommes","3010","Population-Estimations","2010","2010","1000 personnes","121.465","E","Valeur estimée",""
"OA","Séries temporelles annuelles","151","Antilles néerlandaises (ex)","513","Femmes","3010","Population-Estimations","2010","2010","1000 personnes","136.617","E","Valeur estimée",""
"OA","Séries temporelles annuelles","151","Antilles néerlandaises (ex)","551","Population rurale","3010","Population-Estimations","2010","2010","1000 personnes","20.19","X","Ciffre de sources internationales",""
"OA","Séries temporelles annuelles","151","Antilles néerlandaises (ex)","561","Population urbaine","3010","Population-Estimations","2010","2010","1000 personnes","181.482","X","Ciffre de sources internationales",""
"OA","Séries temporelles annuelles","194","Arabie saoudite","511","Population totale","3010","Population-Estimations","2010","2010","1000 personnes","29411.929","X","Ciffre de sources internationales",""
"OA","Séries temporelles annuelles","194","Arabie saoudite","512","Hommes","3010","Population-Estimations","2010","2010","1000 personnes","16865.108","X","Ciffre de sources internationales",""
"OA","Séries temporelles annuelles","194","Arabie saoudite","513","Femmes","3010","Population-Estimations","2010","2010","1000 personnes","12546.82","X","Ciffre de sources internationales",""
"OA","Séries temporelles annuelles","194","Arabie saoudite","551","Population rurale","3010","Population-Estimations","2010","2010","1000 personnes","4913.575","X","Ciffre de sources internationales",""
"OA","Séries temporelles annuelles","194","Arabie saoudite","561","Population urbaine","3010","Population-Estimations","2010","2010","1000 personnes","22512.101","X","Ciffre de sources internationales",""
"OA","Séries temporelles annuelles","194","Arabie saoudite","511","Population totale","3010","Population-Estimations","2020","2020","1000 personnes","35997.107","X","Ciffre de sources internationales",""
"OA","Séries temporelles annuelles","194","Arabie saoudite","512","Hommes","3010","Population-Estimations","2020","2020","1000 personnes","20886.852","X","Ciffre de sources internationales",""
"OA","Séries temporelles annuelles","194","Arabie saoudite","513","Femmes","3010","Population-Estimations","2020","2020","1000 personnes","15110.254","X","Ciffre de sources internationales",""
"OA","Séries temporelles annuelles","194","Arabie saoudite","551","Population rurale","3010","Population-Estimations","2020","2020","1000 personnes","5454.064","X","Ciffre de sources internationales",""
"OA","Séries temporelles annuelles","194","Arabie saoudite","561","Population urbaine","3010","Population-Estimations","2020","2020","1000 personnes","29255.576","X","Ciffre de sources internationales",""
"OA","Séries temporelles annuelles","9","Argentine","511","Population totale","3010","Population-Estimations","2010","2010","1000 personnes","41100.123","X","Ciffre de sources internationales",""
"OA","Séries temporelles annuelles","9","Argentine","512","Hommes","3010","Population-Estimations","2010","2010","1000 personnes","20308.489","X","Ciffre de sources internationales",""
"OA","Séries temporelles annuelles","9","Argentine","513","Femmes","3010","Population-Estimations","2010","2010","1000 personnes","20791.633","X","Ciffre de sources internationales",""
"OA","Séries temporelles annuelles","9","Argentine","551","Population rurale","3010","Population-Estimations","2010","2010","1000 personnes","3772.3","X","Ciffre de sources internationales",""
"OA","Séries temporelles annuelles","9","Argentine","561","Population urbaine","3010","Population-Estimations","2010","2010","1000 personnes","37451.589","X","Ciffre de sources internationales",""
"OA","Séries temporelles annuelles","9","Argentine","511","Population totale","3010","Population-Estimations","2020","2020","1000 personnes","45036.032","X","Ciffre de sources internationales",""
"OA","Séries temporelles annuelles","9","Argentine","512","Hommes","3010","Population-Estimations","2020","2020","1000 personnes","22297.001","X","Ciffre de sources internationales",""
"OA","Séries temporelles annuelles","9","Argentine","513","Femmes","3010","Population-Estimations","2020","2020","1000 personnes","22739.031","X","Ciffre de sources internationales",""
"OA","Séries temporelles annuelles","9","Argentine","551","Population rurale","3010","Population-Estimations","2020","2020","1000 personnes","3590.542","X","Ciffre de sources internationales",""
"OA","Séries temporelles annuelles","9","Argentine","561","Population urbaine","3010","Population-Estimations","2020","2020","1000 personnes","41919.857","X","Ciffre de sources internationales",""
"OA","Séries temporelles annuelles","1","Arménie","511","Population totale","3010","Population-Estimations","2010","2010","1000 personnes","2946.293","X","Ciffre de sources internationales",""
"OA","Séries temporelles annuelles","1","Arménie","512","Hommes","3010","Population-Estimations","2010","2010","1000 personnes","1359.071","X","Ciffre de sources internationales",""
"OA","Séries temporelles annuelles","1","Arménie","513","Femmes","3010","Population-Estimations","2010","2010","1000 personnes","1587.223","X","Ciffre de sources internationales",""
"OA","Séries temporelles annuelles","1","Arménie","551","Population rurale","3010","Population-Estimations","2010","2010","1000 personnes","1051.946","X","Ciffre de sources internationales",""
"OA","Séries temporelles annuelles","1","Arménie","561","Population urbaine","3010","Population-Estimations","2010","2010","1000 personnes","1825.365","X","Ciffre de sources internationales",""
"OA","Séries temporelles annuelles","1","Arménie","511","Population totale","3010","Population-Estimations","2020","2020","1000 personnes","2805.608","X","Ciffre de sources internationales",""
"OA","Séries temporelles annuelles","1","Arménie","512","Hommes","3010","Population-Estimations","2020","2020","1000 personnes","1265.512","X","Ciffre de sources internationales",""
"OA","Séries temporelles annuelles","1","Arménie","513","Femmes","3010","Population-Estimations","2020","2020","1000 personnes","1540.097","X","Ciffre de sources internationales",""
"OA","Séries temporelles annuelles","1","Arménie","551","Population rurale","3010","Population-Estimations","2020","2020","1000 personnes","1078.125","X","Ciffre de sources internationales",""
"OA","Séries temporelles annuelles","1","Arménie","561","Population urbaine","3010","Population-Estimations","2020","2020","1000 personnes","1860.554","X","Ciffre de sources internationales",""
"OA","Séries temporelles annuelles","22","Aruba","511","Population totale","3010","Population-Estimations","2010","2010","1000 personnes","100.341","X","Ciffre de sources internationales",""
"OA","Séries temporelles annuelles","22","Aruba","512","Hommes","3010","Population-Estimations","2010","2010","1000 personnes","47.858","X","Ciffre de sources internationales",""
"OA","Séries temporelles annuelles","22","Aruba","513","Femmes","3010","Population-Estimations","2010","2010","1000 personnes","52.484","X","Ciffre de sources internationales",""
"OA","Séries temporelles annuelles","22","Aruba","551","Population rurale","3010","Population-Estimations","2010","2010","1000 personnes","57.891","X","Ciffre de sources internationales",""
"OA","Séries temporelles annuelles","22","Aruba","561","Population urbaine","3010","Population-Estimations","2010","2010","1000 personnes","43.778","X","Ciffre de sources internationales",""
"OA","Séries temporelles annuelles","22","Aruba","511","Population totale","3010","Population-Estimations","2020","2020","1000 personnes","106.585","X","Ciffre de sources internationales",""
"OA","Séries temporelles annuelles","22","Aruba","512","Hommes","3010","Population-Estimations","2020","2020","1000 personnes","50.211","X","Ciffre de sources internationales",""
"OA","Séries temporelles annuelles","22","Aruba","513","Femmes","3010","Population-Estimations","2020","2020","1000 personnes","56.373","X","Ciffre de sources internationales",""
"OA","Séries temporelles annuelles","22","Aruba","551","Population rurale","3010","Population-Estimations","2020","2020","1000 personnes","59.927","X","Ciffre de sources internationales",""
"OA","Séries temporelles annuelles","22","Aruba","561","Population urbaine","3010","Population-Estimations","2020","2020","1000 personnes","46.511","X","Ciffre de sources internationales",""
"OA","Séries temporelles annuelles","10","Australie","511","Population totale","3010","Population-Estimations","2010","2010","1000 personnes","22019.168","X","Ciffre de sources internationales",""
"OA","Séries temporelles annuelles","10","Australie","512","Hommes","3010","Population-Estimations","2010","2010","1000 personnes","10961.285","X","Ciffre de sources internationales",""
"OA","Séries temporelles annuelles","10","Australie","513","Femmes","3010","Population-Estimations","2010","2010","1000 personnes","11057.883","X","Ciffre de sources internationales",""
"OA","Séries temporelles annuelles","10","Australie","551","Population rurale","3010","Population-Estimations","2010","2010","1000 personnes","3277.772","X","Ciffre de sources internationales",""
"OA","Séries temporelles annuelles","10","Australie","561","Population urbaine","3010","Population-Estimations","2010","2010","1000 personnes","18842.292","X","Ciffre de sources internationales",""
"OA","Séries temporelles annuelles","10","Australie","511","Population totale","3010","Population-Estimations","2020","2020","1000 personnes","25670.051","X","Ciffre de sources internationales",""
"OA","Séries temporelles annuelles","10","Australie","512","Hommes","3010","Population-Estimations","2020","2020","1000 personnes","12738.21","X","Ciffre de sources internationales",""
"OA","Séries temporelles annuelles","10","Australie","513","Femmes","3010","Population-Estimations","2020","2020","1000 personnes","12931.84","X","Ciffre de sources internationales",""
"OA","Séries temporelles annuelles","10","Australie","551","Population rurale","3010","Population-Estimations","2020","2020","1000 personnes","3494.472","X","Ciffre de sources internationales",""
"OA","Séries temporelles annuelles","10","Australie","561","Population urbaine","3010","Population-Estimations","2020","2020","1000 personnes","21903.705","X","Ciffre de sources internationales",""
"OA","Séries temporelles annuelles","11","Autriche","511","Population totale","3010","Population-Estimations","2010","2010","1000 personnes","8362.829","X","Ciffre de sources internationales",""
"OA","Séries temporelles annuelles","11","Autriche","512","Hommes","3010","Population-Estimations","2010","2010","1000 personnes","4072.341","X","Ciffre de sources internationales",""
"OA","Séries temporelles annuelles","11","Autriche","513","Femmes","3010","Population-Estimations","2010","2010","1000 personnes","4290.488","X","Ciffre de sources internationales",""
"OA","Séries temporelles annuelles","11","Autriche","551","Population rurale","3010","Population-Estimations","2010","2010","1000 personnes","3582.684","X","Ciffre de sources internationales",""
"OA","Séries temporelles annuelles","11","Autriche","561","Population urbaine","3010","Population-Estimations","2010","2010","1000 personnes","4827.265","X","Ciffre de sources internationales",""
"OA","Séries temporelles annuelles","11","Autriche","511","Population totale","3010","Population-Estimations","2020","2020","1000 personnes","8907.777","X","Ciffre de sources internationales",""
"OA","Séries temporelles annuelles","11","Autriche","512","Hommes","3010","Population-Estimations","2020","2020","1000 personnes","4382.851","X","Ciffre de sources internationales",""
"OA","Séries temporelles annuelles","11","Autriche","513","Femmes","3010","Population-Estimations","2020","2020","1000 personnes","4524.926","X","Ciffre de sources internationales",""
"OA","Séries temporelles annuelles","11","Autriche","551","Population rurale","3010","Population-Estimations","2020","2020","1000 personnes","3622.85","X","Ciffre de sources internationales",""
"OA","Séries temporelles annuelles","11","Autriche","561","Population urbaine","3010","Population-Estimations","2020","2020","1000 personnes","5159.36","X","Ciffre de sources internationales",""
"OA","Séries temporelles annuelles","52","Azerbaïdjan","511","Population totale","3010","Population-Estimations","2010","2010","1000 personnes","9237.202","X","Ciffre de sources internationales",""
"OA","Séries temporelles annuelles","52","Azerbaïdjan","512","Hommes","3010","Population-Estimations","2010","2010","1000 personnes","4526.421","X","Ciffre de sources internationales",""
"OA","Séries temporelles annuelles","52","Azerbaïdjan","513","Femmes","3010","Population-Estimations","2010","2010","1000 personnes","4710.782","X","Ciffre de sources internationales",""
"OA","Séries temporelles annuelles","52","Azerbaïdjan","551","Population rurale","3010","Population-Estimations","2010","2010","1000 personnes","4208.623","X","Ciffre de sources internationales",""
"OA","Séries temporelles annuelles","52","Azerbaïdjan","561","Population urbaine","3010","Population-Estimations","2010","2010","1000 personnes","4823.834","X","Ciffre de sources internationales",""
