Code Domaine,Domaine,Code zone (FAO),Zone,Code Élément,Élément,Code Produit (FAO),Produit,Code année,Année,Unité,Valeur,Symbole,Description du Symbole
"QCL","Cultures et produits animaux","133","Mali","5112","Réserves","1057","Poulets","2020","2020","1000 têtes","52098","A","Chiffre officiel"
"QCL","Cultures et produits animaux","143","Maroc","5112","Réserves","1057","Poulets","2020","2020","1000 têtes","213375","I","Valeur imputée"
"QCL","Cultures et produits animaux","137","Maurice","5112","Réserves","1057","Poulets","2020","2020","1000 têtes","16302","I","Valeur imputée"
"QCL","Cultures et produits animaux","136","Mauritanie","5112","Réserves","1057","Poulets","2020","2020","1000 têtes","4742","I","Valeur imputée"
"QCL","Cultures et produits animaux","138","Mexique","5112","Réserves","1057","Poulets","2020","2020","1000 têtes","591596","A","Chiffre officiel"
"QCL","Cultures et produits animaux","145","Micronésie (États fédérés de)","5112","Réserves","1057","Poulets","2020","2020","1000 têtes","191","I","Valeur imputée"
"QCL","Cultures et produits animaux","141","Mongolie","5112","Réserves","1057","Poulets","2020","2020","1000 têtes","985","A","Chiffre officiel"
"QCL","Cultures et produits animaux","273","Monténégro","5112","Réserves","1057","Poulets","2020","2020","1000 têtes","602","A","Chiffre officiel"
"QCL","Cultures et produits animaux","144","Mozambique","5112","Réserves","1057","Poulets","2020","2020","1000 têtes","20769","A","Chiffre officiel"
"QCL","Cultures et produits animaux","28","Myanmar","5112","Réserves","1057","Poulets","2020","2020","1000 têtes","98089","A","Chiffre officiel"
"QCL","Cultures et produits animaux","147","Namibie","5112","Réserves","1057","Poulets","2020","2020","1000 têtes","4371","E","Valeur estimée"
"QCL","Cultures et produits animaux","148","Nauru","5112","Réserves","1057","Poulets","2020","2020","1000 têtes","5","I","Valeur imputée"
"QCL","Cultures et produits animaux","149","Népal","5112","Réserves","1057","Poulets","2020","2020","1000 têtes","82599","A","Chiffre officiel"
"QCL","Cultures et produits animaux","157","Nicaragua","5112","Réserves","1057","Poulets","2020","2020","1000 têtes","25379","I","Valeur imputée"
"QCL","Cultures et produits animaux","158","Niger","5112","Réserves","1057","Poulets","2020","2020","1000 têtes","20696","A","Chiffre officiel"
"QCL","Cultures et produits animaux","159","Nigéria","5112","Réserves","1057","Poulets","2020","2020","1000 têtes","168583","I","Valeur imputée"
"QCL","Cultures et produits animaux","160","Nioué","5112","Réserves","1057","Poulets","2020","2020","1000 têtes","19","I","Valeur imputée"
"QCL","Cultures et produits animaux","162","Norvège","5112","Réserves","1057","Poulets","2020","2020","1000 têtes","14218","A","Chiffre officiel"
"QCL","Cultures et produits animaux","153","Nouvelle-Calédonie","5112","Réserves","1057","Poulets","2020","2020","1000 têtes","527","I","Valeur imputée"
"QCL","Cultures et produits animaux","156","Nouvelle-Zélande","5112","Réserves","1057","Poulets","2020","2020","1000 têtes","24849","A","Chiffre officiel"
"QCL","Cultures et produits animaux","221","Oman","5112","Réserves","1057","Poulets","2020","2020","1000 têtes","4801","E","Valeur estimée"
"QCL","Cultures et produits animaux","226","Ouganda","5112","Réserves","1057","Poulets","2020","2020","1000 têtes","35316","E","Valeur estimée"
"QCL","Cultures et produits animaux","235","Ouzbékistan","5112","Réserves","1057","Poulets","2020","2020","1000 têtes","77976","I","Valeur imputée"
"QCL","Cultures et produits animaux","165","Pakistan","5112","Réserves","1057","Poulets","2020","2020","1000 têtes","1443000","A","Chiffre officiel"
"QCL","Cultures et produits animaux","299","Palestine","5112","Réserves","1057","Poulets","2020","2020","1000 têtes","7329","I","Valeur imputée"
"QCL","Cultures et produits animaux","166","Panama","5112","Réserves","1057","Poulets","2020","2020","1000 têtes","25586","A","Chiffre officiel"
