Zone,Dispo_intérieur en Tonne,Dispo_Alim_kcal_pers_jour_volaille,Dispo_Prot_g_pers_jour_volaille,Dispo_Alim_kg_pers_volaille,Population 2020,Evol Population 2010-2020 en %,PIB par habitant $,Qté poulets exporté en nb de tete,Valeur exporté en $,Qté poulets importé en nb de tete,Valeur importé en $,Qté de production poulets
Viet Nam,1539000.0,61.09,5.14,15.81,96648685.0,10.6,2724.8143535,429.0,408000.0,6557.0,22216000.0,409500.0
Yémen,335000.0,39.06,4.0,11.22,32284046.0,30.5,291.9733605,0.0,0.0,2500.0,7200000.0,70480.0
Zambie,49000.0,8.83,0.89,2.64,18927715.0,37.2,942.347567,1328.0,5880000.0,333.0,3380000.0,40438.0
Zimbabwe,69000.0,15.46,1.56,4.62,15669666.0,22.0,1367.225762,248.0,1201000.0,280.0,3084000.0,16200.0
Égypte,1467000.0,54.0,5.03,14.33,107465134.0,23.2,3403.4767855,2.0,1000.0,2340.0,18279000.0,171578.0
Émirats arabes unis,459000.0,104.17,10.52,31.14,9287289.0,9.5,38362.0114275,997.0,1516000.0,1982.0,3074000.0,25401.0
Équateur,333000.0,81.26,6.01,18.88,17588595.0,17.3,5563.7753045,0.0,0.0,2429.0,17546000.0,171642.0
Érythrée,63200.0,75.59200000000001,7.908000000000001,22.776,3555868.0,13.0,582.711785,0.0,0.0,81.0,254000.0,1185.0
États-Unis d'Amérique,19451000.0,231.33,20.94,58.69,335942003.0,8.0,63303.8346205,51896.0,227513000.0,1799.0,7557000.0,1537000.0
Éthiopie,68000.0,1.99,0.2,0.59,117190911.0,31.3,822.0930089999999,0.0,0.0,3.0,1555000.0,56993.0
Îles Salomon,4000.0,24.86,2.39,6.14,691191.0,27.9,2248.268293,40.4,16000.0,114.0,389600.0,245.0
