Code Domaine,Domaine,Code zone (M49),Zone,Code Élément,Élément,Code Produit (FAO),Produit,Code année,Année,Unité,Valeur,Symbole,Description du Symbole
"TCL","Cultures et produits animaux","070","Bosnie-Herzégovine","5909","Exportations - Quantité","1057","Poulets","2020","2020","1000 têtes","7094","A","Chiffre officiel"
"TCL","Cultures et produits animaux","070","Bosnie-Herzégovine","5922","Exportations - Valeur","1057","Poulets","2020","2020","1000 US$","1096","A","Chiffre officiel"
"TCL","Cultures et produits animaux","072","Botswana","5609","Importations - Quantité","1057","Poulets","2020","2020","1000 têtes","1613","A","Chiffre officiel"
"TCL","Cultures et produits animaux","072","Botswana","5622","Importations - Valeur","1057","Poulets","2020","2020","1000 US$","3491","A","Chiffre officiel"
"TCL","Cultures et produits animaux","076","Brésil","5609","Importations - Quantité","1057","Poulets","2020","2020","1000 têtes","21","A","Chiffre officiel"
"TCL","Cultures et produits animaux","076","Brésil","5622","Importations - Valeur","1057","Poulets","2020","2020","1000 US$","1028","A","Chiffre officiel"
"TCL","Cultures et produits animaux","076","Brésil","5909","Exportations - Quantité","1057","Poulets","2020","2020","1000 têtes","24256","A","Chiffre officiel"
"TCL","Cultures et produits animaux","076","Brésil","5922","Exportations - Valeur","1057","Poulets","2020","2020","1000 US$","77891","A","Chiffre officiel"
"TCL","Cultures et produits animaux","096","Brunéi Darussalam","5609","Importations - Quantité","1057","Poulets","2020","2020","1000 têtes","1999","A","Chiffre officiel"
"TCL","Cultures et produits animaux","096","Brunéi Darussalam","5622","Importations - Valeur","1057","Poulets","2020","2020","1000 US$","1562","A","Chiffre officiel"
"TCL","Cultures et produits animaux","100","Bulgarie","5609","Importations - Quantité","1057","Poulets","2020","2020","1000 têtes","2551","A","Chiffre officiel"
"TCL","Cultures et produits animaux","100","Bulgarie","5622","Importations - Valeur","1057","Poulets","2020","2020","1000 US$","6941","A","Chiffre officiel"
"TCL","Cultures et produits animaux","100","Bulgarie","5909","Exportations - Quantité","1057","Poulets","2020","2020","1000 têtes","21252","A","Chiffre officiel"
"TCL","Cultures et produits animaux","100","Bulgarie","5922","Exportations - Valeur","1057","Poulets","2020","2020","1000 US$","9001","A","Chiffre officiel"
"TCL","Cultures et produits animaux","854","Burkina Faso","5609","Importations - Quantité","1057","Poulets","2020","2020","1000 têtes","1693","A","Chiffre officiel"
"TCL","Cultures et produits animaux","854","Burkina Faso","5622","Importations - Valeur","1057","Poulets","2020","2020","1000 US$","505","A","Chiffre officiel"
"TCL","Cultures et produits animaux","854","Burkina Faso","5909","Exportations - Quantité","1057","Poulets","2020","2020","1000 têtes","28","A","Chiffre officiel"
"TCL","Cultures et produits animaux","854","Burkina Faso","5922","Exportations - Valeur","1057","Poulets","2020","2020","1000 US$","1","A","Chiffre officiel"
"TCL","Cultures et produits animaux","108","Burundi","5609","Importations - Quantité","1057","Poulets","2020","2020","1000 têtes","1","A","Chiffre officiel"
"TCL","Cultures et produits animaux","108","Burundi","5622","Importations - Valeur","1057","Poulets","2020","2020","1000 US$","9","A","Chiffre officiel"
"TCL","Cultures et produits animaux","132","Cabo Verde","5609","Importations - Quantité","1057","Poulets","2020","2020","1000 têtes","122","T","Chiffre non officiel"
"TCL","Cultures et produits animaux","132","Cabo Verde","5622","Importations - Valeur","1057","Poulets","2020","2020","1000 US$","89","T","Chiffre non officiel"
"TCL","Cultures et produits animaux","116","Cambodge","5609","Importations - Quantité","1057","Poulets","2020","2020","1000 têtes","232","A","Chiffre officiel"
"TCL","Cultures et produits animaux","116","Cambodge","5622","Importations - Valeur","1057","Poulets","2020","2020","1000 US$","1539","A","Chiffre officiel"
"TCL","Cultures et produits animaux","120","Cameroun","5609","Importations - Quantité","1057","Poulets","2020","2020","1000 têtes","661","T","Chiffre non officiel"
"TCL","Cultures et produits animaux","120","Cameroun","5622","Importations - Valeur","1057","Poulets","2020","2020","1000 US$","3136","T","Chiffre non officiel"
"TCL","Cultures et produits animaux","124","Canada","5609","Importations - Quantité","1057","Poulets","2020","2020","1000 têtes","36093","A","Chiffre officiel"
"TCL","Cultures et produits animaux","124","Canada","5622","Importations - Valeur","1057","Poulets","2020","2020","1000 US$","59643","A","Chiffre officiel"
"TCL","Cultures et produits animaux","124","Canada","5909","Exportations - Quantité","1057","Poulets","2020","2020","1000 têtes","2713","A","Chiffre officiel"
"TCL","Cultures et produits animaux","124","Canada","5922","Exportations - Valeur","1057","Poulets","2020","2020","1000 US$","11368","A","Chiffre officiel"
"TCL","Cultures et produits animaux","152","Chili","5609","Importations - Quantité","1057","Poulets","2020","2020","1000 têtes","502","A","Chiffre officiel"
"TCL","Cultures et produits animaux","152","Chili","5622","Importations - Valeur","1057","Poulets","2020","2020","1000 US$","7220","A","Chiffre officiel"
"TCL","Cultures et produits animaux","344","Chine - RAS de Hong-Kong","5609","Importations - Quantité","1057","Poulets","2020","2020","1000 têtes","3617","A","Chiffre officiel"
"TCL","Cultures et produits animaux","344","Chine - RAS de Hong-Kong","5622","Importations - Valeur","1057","Poulets","2020","2020","1000 US$","1685","A","Chiffre officiel"
"TCL","Cultures et produits animaux","446","Chine - RAS de Macao","5609","Importations - Quantité","1057","Poulets","2020","2020","1000 têtes","3000","E","Valeur estimée"
"TCL","Cultures et produits animaux","446","Chine - RAS de Macao","5622","Importations - Valeur","1057","Poulets","2020","2020","1000 US$","18500","E","Valeur estimée"
"TCL","Cultures et produits animaux","156","Chine, continentale","5609","Importations - Quantité","1057","Poulets","2020","2020","1000 têtes","1500","E","Valeur estimée"
"TCL","Cultures et produits animaux","156","Chine, continentale","5622","Importations - Valeur","1057","Poulets","2020","2020","1000 US$","35721","A","Chiffre officiel"
"TCL","Cultures et produits animaux","156","Chine, continentale","5909","Exportations - Quantité","1057","Poulets","2020","2020","1000 têtes","4960","E","Valeur estimée"
"TCL","Cultures et produits animaux","156","Chine, continentale","5922","Exportations - Valeur","1057","Poulets","2020","2020","1000 US$","1839","A","Chiffre officiel"
"TCL","Cultures et produits animaux","158","Chine, Taiwan Province de","5609","Importations - Quantité","1057","Poulets","2020","2020","1000 têtes","418","I","Valeur imputée"
"TCL","Cultures et produits animaux","158","Chine, Taiwan Province de","5622","Importations - Valeur","1057","Poulets","2020","2020","1000 US$","4729","A","Chiffre officiel"
"TCL","Cultures et produits animaux","196","Chypre","5609","Importations - Quantité","1057","Poulets","2020","2020","1000 têtes","418","A","Chiffre officiel"
"TCL","Cultures et produits animaux","196","Chypre","5622","Importations - Valeur","1057","Poulets","2020","2020","1000 US$","900","A","Chiffre officiel"
"TCL","Cultures et produits animaux","170","Colombie","5609","Importations - Quantité","1057","Poulets","2020","2020","1000 têtes","708","I","Valeur imputée"
"TCL","Cultures et produits animaux","170","Colombie","5622","Importations - Valeur","1057","Poulets","2020","2020","1000 US$","18055","A","Chiffre officiel"
"TCL","Cultures et produits animaux","170","Colombie","5909","Exportations - Quantité","1057","Poulets","2020","2020","1000 têtes","1805","I","Valeur imputée"
"TCL","Cultures et produits animaux","170","Colombie","5922","Exportations - Valeur","1057","Poulets","2020","2020","1000 US$","4367","A","Chiffre officiel"
"TCL","Cultures et produits animaux","174","Comores","5609","Importations - Quantité","1057","Poulets","2020","2020","1000 têtes","2","A","Chiffre officiel"
"TCL","Cultures et produits animaux","174","Comores","5622","Importations - Valeur","1057","Poulets","2020","2020","1000 US$","23","A","Chiffre officiel"
"TCL","Cultures et produits animaux","178","Congo","5609","Importations - Quantité","1057","Poulets","2020","2020","1000 têtes","252","A","Chiffre officiel"
"TCL","Cultures et produits animaux","178","Congo","5622","Importations - Valeur","1057","Poulets","2020","2020","1000 US$","128","A","Chiffre officiel"
"TCL","Cultures et produits animaux","178","Congo","5909","Exportations - Quantité","1057","Poulets","2020","2020","1000 têtes","745","A","Chiffre officiel"
"TCL","Cultures et produits animaux","178","Congo","5922","Exportations - Valeur","1057","Poulets","2020","2020","1000 US$","35","A","Chiffre officiel"
"TCL","Cultures et produits animaux","188","Costa Rica","5609","Importations - Quantité","1057","Poulets","2020","2020","1000 têtes","1156","A","Chiffre officiel"
"TCL","Cultures et produits animaux","188","Costa Rica","5622","Importations - Valeur","1057","Poulets","2020","2020","1000 US$","6447","A","Chiffre officiel"
"TCL","Cultures et produits animaux","188","Costa Rica","5909","Exportations - Quantité","1057","Poulets","2020","2020","1000 têtes","10424","A","Chiffre officiel"
"TCL","Cultures et produits animaux","188","Costa Rica","5922","Exportations - Valeur","1057","Poulets","2020","2020","1000 US$","7137","A","Chiffre officiel"
"TCL","Cultures et produits animaux","384","Côte d'Ivoire","5609","Importations - Quantité","1057","Poulets","2020","2020","1000 têtes","1145","A","Chiffre officiel"
"TCL","Cultures et produits animaux","384","Côte d'Ivoire","5622","Importations - Valeur","1057","Poulets","2020","2020","1000 US$","4185","A","Chiffre officiel"
"TCL","Cultures et produits animaux","191","Croatie","5609","Importations - Quantité","1057","Poulets","2020","2020","1000 têtes","8262","A","Chiffre officiel"
"TCL","Cultures et produits animaux","191","Croatie","5622","Importations - Valeur","1057","Poulets","2020","2020","1000 US$","6588","A","Chiffre officiel"
"TCL","Cultures et produits animaux","191","Croatie","5909","Exportations - Quantité","1057","Poulets","2020","2020","1000 têtes","13110","A","Chiffre officiel"
"TCL","Cultures et produits animaux","191","Croatie","5922","Exportations - Valeur","1057","Poulets","2020","2020","1000 US$","9349","A","Chiffre officiel"
"TCL","Cultures et produits animaux","208","Danemark","5609","Importations - Quantité","1057","Poulets","2020","2020","1000 têtes","1881","A","Chiffre officiel"
"TCL","Cultures et produits animaux","208","Danemark","5622","Importations - Valeur","1057","Poulets","2020","2020","1000 US$","9758","A","Chiffre officiel"
"TCL","Cultures et produits animaux","208","Danemark","5909","Exportations - Quantité","1057","Poulets","2020","2020","1000 têtes","61051","A","Chiffre officiel"
"TCL","Cultures et produits animaux","208","Danemark","5922","Exportations - Valeur","1057","Poulets","2020","2020","1000 US$","87570","A","Chiffre officiel"
"TCL","Cultures et produits animaux","212","Dominique","5609","Importations - Quantité","1057","Poulets","2020","2020","1000 têtes","9","T","Chiffre non officiel"
"TCL","Cultures et produits animaux","212","Dominique","5622","Importations - Valeur","1057","Poulets","2020","2020","1000 US$","183","T","Chiffre non officiel"
"TCL","Cultures et produits animaux","818","Égypte","5609","Importations - Quantité","1057","Poulets","2020","2020","1000 têtes","2340","I","Valeur imputée"
"TCL","Cultures et produits animaux","818","Égypte","5622","Importations - Valeur","1057","Poulets","2020","2020","1000 US$","18279","A","Chiffre officiel"
"TCL","Cultures et produits animaux","818","Égypte","5909","Exportations - Quantité","1057","Poulets","2020","2020","1000 têtes","2","I","Valeur imputée"
"TCL","Cultures et produits animaux","818","Égypte","5922","Exportations - Valeur","1057","Poulets","2020","2020","1000 US$","1","A","Chiffre officiel"
"TCL","Cultures et produits animaux","222","El Salvador","5609","Importations - Quantité","1057","Poulets","2020","2020","1000 têtes","6102","A","Chiffre officiel"
"TCL","Cultures et produits animaux","222","El Salvador","5622","Importations - Valeur","1057","Poulets","2020","2020","1000 US$","8120","A","Chiffre officiel"
"TCL","Cultures et produits animaux","222","El Salvador","5909","Exportations - Quantité","1057","Poulets","2020","2020","1000 têtes","12323","A","Chiffre officiel"
"TCL","Cultures et produits animaux","222","El Salvador","5922","Exportations - Valeur","1057","Poulets","2020","2020","1000 US$","7460","A","Chiffre officiel"
"TCL","Cultures et produits animaux","784","Émirats arabes unis","5609","Importations - Quantité","1057","Poulets","2020","2020","1000 têtes","1982","A","Chiffre officiel"
"TCL","Cultures et produits animaux","784","Émirats arabes unis","5622","Importations - Valeur","1057","Poulets","2020","2020","1000 US$","3074","A","Chiffre officiel"
"TCL","Cultures et produits animaux","784","Émirats arabes unis","5909","Exportations - Quantité","1057","Poulets","2020","2020","1000 têtes","997","A","Chiffre officiel"
"TCL","Cultures et produits animaux","784","Émirats arabes unis","5922","Exportations - Valeur","1057","Poulets","2020","2020","1000 US$","1516","A","Chiffre officiel"
"TCL","Cultures et produits animaux","218","Équateur","5609","Importations - Quantité","1057","Poulets","2020","2020","1000 têtes","2429","A","Chiffre officiel"
"TCL","Cultures et produits animaux","218","Équateur","5622","Importations - Valeur","1057","Poulets","2020","2020","1000 US$","17546","A","Chiffre officiel"
"TCL","Cultures et produits animaux","232","Érythrée","5609","Importations - Quantité","1057","Poulets","2020","2020","1000 têtes","81","T","Chiffre non officiel"
"TCL","Cultures et produits animaux","232","Érythrée","5622","Importations - Valeur","1057","Poulets","2020","2020","1000 US$","254","T","Chiffre non officiel"
"TCL","Cultures et produits animaux","724","Espagne","5609","Importations - Quantité","1057","Poulets","2020","2020","1000 têtes","33532","A","Chiffre officiel"
"TCL","Cultures et produits animaux","724","Espagne","5622","Importations - Valeur","1057","Poulets","2020","2020","1000 US$","34991","A","Chiffre officiel"
"TCL","Cultures et produits animaux","724","Espagne","5909","Exportations - Quantité","1057","Poulets","2020","2020","1000 têtes","27320","A","Chiffre officiel"
"TCL","Cultures et produits animaux","724","Espagne","5922","Exportations - Valeur","1057","Poulets","2020","2020","1000 US$","77853","A","Chiffre officiel"
"TCL","Cultures et produits animaux","233","Estonie","5609","Importations - Quantité","1057","Poulets","2020","2020","1000 têtes","13190","A","Chiffre officiel"
"TCL","Cultures et produits animaux","233","Estonie","5622","Importations - Valeur","1057","Poulets","2020","2020","1000 US$","5671","A","Chiffre officiel"
"TCL","Cultures et produits animaux","233","Estonie","5909","Exportations - Quantité","1057","Poulets","2020","2020","1000 têtes","156","A","Chiffre officiel"
"TCL","Cultures et produits animaux","233","Estonie","5922","Exportations - Valeur","1057","Poulets","2020","2020","1000 US$","42","A","Chiffre officiel"
"TCL","Cultures et produits animaux","748","Eswatini","5609","Importations - Quantité","1057","Poulets","2020","2020","1000 têtes","621","A","Chiffre officiel"
"TCL","Cultures et produits animaux","748","Eswatini","5622","Importations - Valeur","1057","Poulets","2020","2020","1000 US$","676","A","Chiffre officiel"
"TCL","Cultures et produits animaux","748","Eswatini","5909","Exportations - Quantité","1057","Poulets","2020","2020","1000 têtes","1011","A","Chiffre officiel"
"TCL","Cultures et produits animaux","748","Eswatini","5922","Exportations - Valeur","1057","Poulets","2020","2020","1000 US$","694","A","Chiffre officiel"
"TCL","Cultures et produits animaux","840","États-Unis d'Amérique","5609","Importations - Quantité","1057","Poulets","2020","2020","1000 têtes","1799","A","Chiffre officiel"
"TCL","Cultures et produits animaux","840","États-Unis d'Amérique","5622","Importations - Valeur","1057","Poulets","2020","2020","1000 US$","7557","A","Chiffre officiel"
"TCL","Cultures et produits animaux","840","États-Unis d'Amérique","5909","Exportations - Quantité","1057","Poulets","2020","2020","1000 têtes","51896","A","Chiffre officiel"
"TCL","Cultures et produits animaux","840","États-Unis d'Amérique","5922","Exportations - Valeur","1057","Poulets","2020","2020","1000 US$","227513","A","Chiffre officiel"
"TCL","Cultures et produits animaux","231","Éthiopie","5609","Importations - Quantité","1057","Poulets","2020","2020","1000 têtes","3","A","Chiffre officiel"
"TCL","Cultures et produits animaux","231","Éthiopie","5622","Importations - Valeur","1057","Poulets","2020","2020","1000 US$","1555","A","Chiffre officiel"
"TCL","Cultures et produits animaux","643","Fédération de Russie","5609","Importations - Quantité","1057","Poulets","2020","2020","1000 têtes","3095","I","Valeur imputée"
"TCL","Cultures et produits animaux","643","Fédération de Russie","5622","Importations - Valeur","1057","Poulets","2020","2020","1000 US$","15626","A","Chiffre officiel"
